nombre,telefono,direccion,latitud,longitud,municipio,categoria
Tierra Adentro Coffee Shop,,"Calle Sta. Águeda, San Juan, 00926, Puerto Rico",18.3740435,-66.0543423,Morovis,Coffee Shops
Gustos Coffee Co. Miramar,,"950 Av. Juan Ponce de León suite 105, San Juan, 00907, Puerto Rico",18.4539744,-66.0799162,Morovis,Coffee Shops
Sugarcane juice,,"9H37+627, State Rte 155, Ciales, Morovis 00687, Puerto Rico",18.3530382,-66.43745919999999,Morovis,Coffee Shops
Don Ruiz Coffee - Freshmart,,"201 Calle Juan Kalaf, San Juan, 00918, Puerto Rico",18.4265331,-66.0709703,Morovis,Coffee Shops
Sofi's Sweet Bakery,,"9H68+FGH, State Rte 155, Morovis, 00687, Puerto Rico",18.3611857,-66.4336435,Morovis,Panaderías
Mario's Bakery,,"8HGV+QG4, State Rte 155, Morovis, 00687, Puerto Rico",18.3268876,-66.4061588,Morovis,Panaderías
Nani’s Sweet Bakery,,"Carr. 619 km 0.4 00687, Morovis, 00687, Puerto Rico",18.3155776,-66.3909233,Morovis,Panaderías
Barahona Bakery,,"9H44+9F4, Barahona, Morovis 00687, Puerto Rico",18.3558767,-66.44379099999999,Morovis,Panaderías
El Castillo De La Reposteria,,"180 PR-155 suite 4, Morovis, 00687, Puerto Rico",18.323108,-66.40631499999999,Morovis,Panaderías
PANADERÍA PAN FACTORY,,"34-42 PR-2, Vega Alta, Vega Baja 00692, Puerto Rico",18.4380827,-66.352004,Morovis,Panaderías
Wings & Fries Co. - Morovis,,"PR-137 KM 13.7, Morovis, 00687, Puerto Rico",18.3279415,-66.4235672,Morovis,Jangueo
Señor Alitas,,"Bo, PR-159 km 0.7, Morovis, 00687, Puerto Rico",18.3257896,-66.3998901,Morovis,Jangueo
Los Hermanos Sport Bar & Grill.,,"Km0.2 PR-6622, Morovis, 00687, Puerto Rico",18.3199119,-66.4162989,Morovis,Jangueo
La Ruta Bar & Restaurant,,"622-652 Cll Armando Mejías, Morovis, 00687, Puerto Rico",18.3400715,-66.4214248,Morovis,Restaurantes
Chinchorro El Malango,,"8H8M+P7G, PR-617, Morovis, 00687, Puerto Rico",18.3168184,-66.4167825,Morovis,Jangueo
