place_id,nombre,categoria_principal,subcategoria_sugerida
ChIJuWJQOTE1HYwRyz8eVJPJ5gU,Novovida Gym Club,Gimnasios,Bienestar
ChIJuWJQOTE1HYwRyz8eVJPJ5gU,Novovida Gym Club,Gimnasios,Fitness
ChIJKcPy1vCvAowR191hJuCJ-W4,Rincon Fitness Center,Gimnasios,Gimnasio General
ChIJKcPy1vCvAowR191hJuCJ-W4,Rincon Fitness Center,Gimnasios,Bienestar
ChIJKcPy1vCvAowR191hJuCJ-W4,Rincon Fitness Center,Gimnasios,Fitness
ChIJSwIdSmArHYwRYl-oMSA8spg,Dynamic Park Ponce,Gimnasios,General
ChIJKSpD-5DVHIwRlPx-FtoIGG0,Centro Del Sur Mall,Gimnasios,General
ChIJFxev7k8rHYwRkQye4Y4ushE,Future's MVP Athletic Training,Gimnasios,Gimnasio General
ChIJFxev7k8rHYwRkQye4Y4ushE,Future's MVP Athletic Training,Gimnasios,Bienestar
ChIJAbF1kP8pHYwRpdZNIOF5VNU,Cross Caribe Inc.,Gimnasios,Gimnasio General
ChIJAbF1kP8pHYwRpdZNIOF5VNU,Cross Caribe Inc.,Gimnasios,Bienestar
ChIJOxAEh1pbA4wR3xbvsLoyU40,Crunch Fitness - Caguas,Gimnasios,Gimnasio General
ChIJOxAEh1pbA4wR3xbvsLoyU40,Crunch Fitness - Caguas,Gimnasios,Bienestar
ChIJOxAEh1pbA4wR3xbvsLoyU40,Crunch Fitness - Caguas,Gimnasios,Fitness
ChIJqTOzodMpA4wRYvdTpBNpMTQ,TS Gym Center,Gimnasios,Gimnasio General
ChIJqTOzodMpA4wRYvdTpBNpMTQ,TS Gym Center,Gimnasios,Bienestar
ChIJqTOzodMpA4wRYvdTpBNpMTQ,TS Gym Center,Gimnasios,Fitness
ChIJoZ51JODVHIwRNcHVfP1vVds,Freaks of Nature Training,Gimnasios,Bienestar
ChIJL10NCKbLHIwRVuMpvZPIY7E,The Family Gym,Gimnasios,Gimnasio General
ChIJL10NCKbLHIwRVuMpvZPIY7E,The Family Gym,Gimnasios,Bienestar
ChIJL10NCKbLHIwRVuMpvZPIY7E,The Family Gym,Gimnasios,Fitness
ChIJLWvhL5doA4wRUeu0VYyTrmg,Sports Gym,Gimnasios,Gimnasio General
ChIJLWvhL5doA4wRUeu0VYyTrmg,Sports Gym,Gimnasios,Bienestar
ChIJLWvhL5doA4wRUeu0VYyTrmg,Sports Gym,Gimnasios,Fitness
ChIJ9QVowFVmA4wRfrLBr8BYtXo,Crunch Fitness - Carolina,Gimnasios,Gimnasio General
ChIJ9QVowFVmA4wRfrLBr8BYtXo,Crunch Fitness - Carolina,Gimnasios,Bienestar
ChIJ9QVowFVmA4wRfrLBr8BYtXo,Crunch Fitness - Carolina,Gimnasios,Fitness
ChIJiQ0F4p4rHYwR7g-ENysTtQQ,LIONS ENERGY CLUB,Gimnasios,Gimnasio General
ChIJiQ0F4p4rHYwR7g-ENysTtQQ,LIONS ENERGY CLUB,Gimnasios,Bienestar
ChIJVXHOpSbVHIwRjtRY7q4nGUk,Walefitt Gym,Gimnasios,Gimnasio General
ChIJVXHOpSbVHIwRjtRY7q4nGUk,Walefitt Gym,Gimnasios,Bienestar
ChIJVXHOpSbVHIwRjtRY7q4nGUk,Walefitt Gym,Gimnasios,Fitness
ChIJZ4sXqJRpA4wRcoMmaFcAS3E,Iron Gym Fitness,Gimnasios,Gimnasio General
ChIJZ4sXqJRpA4wRcoMmaFcAS3E,Iron Gym Fitness,Gimnasios,Bienestar
ChIJZ4sXqJRpA4wRcoMmaFcAS3E,Iron Gym Fitness,Gimnasios,Fitness
ChIJu8E8w_TVHIwRnKmD-CDqfD8,Head Start Center Kids Gym,Gimnasios,Fitness
ChIJDcNIrhm9BIwRfJ9FdsiEcUQ,Iron Fitness,Gimnasios,Gimnasio General
ChIJDcNIrhm9BIwRfJ9FdsiEcUQ,Iron Fitness,Gimnasios,Bienestar
ChIJDcNIrhm9BIwRfJ9FdsiEcUQ,Iron Fitness,Gimnasios,Fitness
ChIJr00Vj3XVHIwRo7SIPqWP5oI,Vita Forma Fitness,Gimnasios,Gimnasio General
ChIJr00Vj3XVHIwRo7SIPqWP5oI,Vita Forma Fitness,Gimnasios,Bienestar
ChIJr00Vj3XVHIwRo7SIPqWP5oI,Vita Forma Fitness,Gimnasios,Fitness
ChIJJ7NRvzIrA4wRmAdTmOzbdWs,South Pearl CrossFit,Gimnasios,Gimnasio General
ChIJJ7NRvzIrA4wRmAdTmOzbdWs,South Pearl CrossFit,Gimnasios,Bienestar
ChIJJ7NRvzIrA4wRmAdTmOzbdWs,South Pearl CrossFit,Gimnasios,Crossfit
ChIJVy_N4zQzHYwR9u2r46BOubw,VIVE FIT GYM STUDIO,Gimnasios,Gimnasio General
ChIJVy_N4zQzHYwR9u2r46BOubw,VIVE FIT GYM STUDIO,Gimnasios,Bienestar
ChIJVy_N4zQzHYwR9u2r46BOubw,VIVE FIT GYM STUDIO,Gimnasios,Fitness
ChIJUSZCgwPgAowRTap-uROvhwA,FIT Factory Fitnes - Arecibo,Gimnasios,Gimnasio General
ChIJUSZCgwPgAowRTap-uROvhwA,FIT Factory Fitnes - Arecibo,Gimnasios,Bienestar
ChIJBZ_Kn14rHYwRqVuTjzqcmIw,Fit Nutrition Studio,Gimnasios,General
ChIJpVeIy7FrA4wRB5G0PXvgjLY,Elev8 Factory Gym,Gimnasios,Gimnasio General
ChIJpVeIy7FrA4wRB5G0PXvgjLY,Elev8 Factory Gym,Gimnasios,Bienestar
ChIJpVeIy7FrA4wRB5G0PXvgjLY,Elev8 Factory Gym,Gimnasios,Fitness
