nombre,subcategoria_actual
La Cabaña,Pubs
El Toalteño,Pubs
Joel Sports Bar,Pubs
El Che By Richard Resto,Pubs
La Gran Parada -Toa Alta,Pubs
Bar de Chivín,Pubs
Bar La Cabaña - El Quenepo,Pubs
El Kampestre,Pubs
Colmado & Bar La Pra,Pubs
Hacienda El Mandril,Discotecas
Barra 360 & Lucky Spot,Discotecas
Candela Great Candy,Barras
El Mandril Sport Bar & Grill,Barras
Barra 360 & Lucky Spot,Barras
TOA ALTA BBQ,Barras
Piloneando Toa Alta,Barras
Hacienda El Mandril,Barras
Nuni's Pizza Bar & Grill,Barras
New Bar & Rest,Barras
THE HIT DE ORO SPORT BAR,Barras
Aníbal BBQ,Barras
The Kañaveral,Barras
JJM Sport Bar,Barras
Cosechando Bar & Grill,Barras
El Che By Richard Resto,Barras
La Cabaña,Barras
Los Topos Pizza Bar & Grill,Barras
Miami Bar,Pubs
Casilda Cocina Creativa & Sunset Rooftop,Pubs
La Yola Cataño,Pubs
4 Corner Sports Bar,Pubs
Diana's Sport Bar,Pubs
Rustikal Burger Bar & Kitchen,Pubs
Aquí CBB,Pubs
El Punto Sabroso,Pubs
A la Leña Pizza,Pubs
Miami Bar,Discotecas
Casilda Cocina Creativa & Sunset Rooftop,Discotecas
La Yola Cataño,Discotecas
Dónde te Quiero,Discotecas
Aquí CBB,Discotecas
El Punto Sabroso,Discotecas
Barrachina,Discotecas
Casa Cataño Food & Rum Theraphy,Discotecas
Empanadillas El Gordo,Discotecas
Toxic Night Club,Discotecas
Fogón de goya,Discotecas
El Punto Vegano,Discotecas
Casilda Cocina Creativa & Sunset Rooftop,Barras
La Yola Cataño,Barras
Miami Bar,Barras
Rustikal Burger Bar & Kitchen,Barras
Barra'e Café,Barras
Diana's Sport Bar,Barras
Bocao’ & Sal,Barras
"7 Mares, Bar & Pa' Picar",Barras
El Punto Sabroso,Barras
Aquí CBB,Barras
Casa Cataño Food & Rum Theraphy,Barras
Villa Pesquera,Barras
Sullivan's BBQ,Barras
A la Leña Pizza,Barras
Empanadillas El Gordo,Barras
La Carreta Smoke & Bar,Pubs
Broadway Gastro Bar,Pubs
Broadway Sport Bar,Pubs
The Pirates Pub,Pubs
Surf Shack,Pubs
Bar Los Bohios,Pubs
Aviator Sport Bar,Pubs
La Sombra Rest.,Pubs
The Ceiba,Pubs
Beer Box La Ceiba,Pubs
Sueños De Azucar,Pubs
La Cavaña Estate,Pubs
The Pírate Pub,Pubs
Broadway Gastro Bar,Discotecas
Broadway Sport Bar,Discotecas
Bar Los Bohios,Discotecas
La Carreta Smoke & Bar,Discotecas
Aviator Sport Bar,Discotecas
The Ceiba,Discotecas
Sueños De Azucar,Discotecas
Surf Shack,Discotecas
Surf Shack,Barras
La Carreta Smoke & Bar,Barras
Broadway Sport Bar,Barras
Broadway Gastro Bar,Barras
Sabor Boriitaly,Barras
El Wiwi Turbo,Barras
El Sazón de la Gordy's,Barras
Sueños De Azucar,Barras
Tiendita La Seyba,Barras
La Sombra Rest.,Barras
El Rincóncito Del Sabor ( Ceiba ),Barras
The Ceiba,Barras
La Ceiba Grocery Store,Barras
La Cavaña Estate,Barras
Chey's Pizza,Barras
Casa Vieja,Pubs
Cialeños Pizza & Pub,Pubs
La Terrazita D’ Ana,Pubs
El Bohío,Pubs
aBú Ciales Kitchen/Penúltima,Pubs
La Rumba Sports Bar,Pubs
The Orphan's Grocery Bar,Pubs
Casa Roja Bar&Grill,Pubs
Rancho El Desahogo,Pubs
Locos De Remate,Pubs
La Frontera Colmado Bar,Pubs
El Mata Plátano Bar & Grill,Barras
The Shark Cave,Pubs
Brisas de Kaliche,Pubs
Abolengo Rest. & Bar,Pubs
Rancho Rico,Pubs
Doña Flor,Pubs
El Ultimo Brinco de Lolo,Pubs
El Nuevo Timbiriche de Juanito,Pubs
Terraza Sport Bar,Pubs
Pollos Neco,Pubs
Expreso Beer and More,Pubs
Asao,Pubs
Ruta Taina,Pubs
Pal Campo Rest 146,Pubs
La Estación del Chinchorreo,Pubs
The Lelolai Bar & Cuisine,Pubs
Bar-Bon,Pubs
Pal' Kala,Pubs
La Mexkla,Pubs
Gagus's Cafe Sport & Bar,Pubs
Colmado Bar la Ultima Copa,Pubs
Choky's Pincho,Pubs
"Willy's Pinchos ""El Original""",Pubs
Chinchorro San Jose,Pubs
Sabor D'qui,Pubs
The Chinese Palace,Pubs
Hot Dog el Gato,Pubs
Vagabundo Social Speakeasy,Pubs
Suso's Bar & Rest.,Pubs
La Rumba Sports Bar,Discotecas
Casa Vieja,Discotecas
Cialeños Pizza & Pub,Discotecas
The Orphan's Grocery Bar,Discotecas
Rancho El Desahogo,Discotecas
Casa Roja Bar&Grill,Discotecas
aBú Ciales Kitchen/Penúltima,Discotecas
Rancho Rico,Discotecas
La Frontera Colmado Bar,Discotecas
Pal' Kala,Discotecas
aBú Ciales Kitchen/Penúltima,Barras
El Bohío,Barras
Casa Vieja,Barras
Choky's Pincho,Barras
Asao,Barras
Cialeños Pizza & Pub,Barras
Casa Roja Bar&Grill,Barras
Abolengo Rest. & Bar,Barras
El Timbre,Barras
Corali's Place,Barras
La Terraza de Bonanza,Barras
The Lelolai Bar & Cuisine,Barras
The Shark Cave,Barras
Pal Campo Rest 146,Barras
Locos De Remate,Barras
Pollos Neco,Barras
La Terrazita D’ Ana,Barras
El CAPORAL,Barras
El Ultimo Brinco de Lolo,Barras
El Ocho de Rio,Barras
Rancho Rico,Barras
Sabor D'qui,Barras
Zona 9 Bar & Grill + Billiards,Barras
Ruta Taina,Barras
La Rumba Sports Bar,Barras
La Medica Barra de Cafe By Zinnia,Barras
Zul Rooftop,Barras
The Orphan's Grocery Bar,Barras
Kalaloo Pizza,Barras
Modelos Bar,Barras
La Wueltita,Barras
Suso's Bar & Rest.,Barras
BOSCO,Barras
La Mexkla,Barras
El Refugio,Barras
Café Borikén,Barras
Las Palmas Bar and Rest.,Barras
La Estación del Chinchorreo,Barras
Arte de Jíbaro,Barras
Platanutre Bar & Grill,Barras
La Terraza de Juanita,Pubs
The Morrillo,Pubs
"Coconut Mar, Yabucoa",Pubs
Pa Casa Dua Bar And Rest,Pubs
El Bullpen,Pubs
El Caobo Bar & Grill,Barras
La Rumba Bar & Rest.,Pubs
The Tivoli,Pubs
El Hangover Sport Bar,Pubs
Los Tres Robles Bar & Grill,Barras
La Frontera Yabucoeña,Pubs
La Carcajada De Rafilin Sport Bar,Pubs
Agencia Hípica 295 - El Décimo Inning,Pubs
The New Fun,Pubs
La Cantina del Tejano,Pubs
El Tirijala Sport Bar,Pubs
La Burbu,Pubs
Georgie's Pizza Place Yabucoa,Pubs
El Nuevo Horizonte,Pubs
Delicia China,Pubs
La Pica,Pubs
Pizzeria The Relative #1,Pubs
Taqueria del Pueblo,Pubs
La carreta,Pubs
The Center LLC Horse Racing Agency #144,Pubs
La Placita de Santurce,Pubs
Kiosko La Frescura,Pubs
Sammy's Pizza #1,Pubs
Bar el cruce,Pubs
THE NEW PARE PUB,Pubs
Yabucoa Harbor Boulevard,Pubs
La Factoría,Pubs
Vivo Beach Club,Pubs
Vicky Sport Bar,Pubs
The Limbers of Rey,Pubs
The Play's Pub,Pubs
Bryant Cafe Sport Bar,Pubs
Casita Hato Rey,Pubs
La Rumba Bar & Rest.,Discotecas
La Placita de Santurce,Discotecas
La Frontera Yabucoeña,Discotecas
El Tirijala Sport Bar,Discotecas
The Tivoli,Discotecas
El Hangover Sport Bar,Discotecas
The Morrillo,Discotecas
Agencia Hípica 295 - El Décimo Inning,Discotecas
La Factoría,Discotecas
Azure Lounge,Discotecas
La Respuesta,Discotecas
La carreta,Discotecas
El Nuevo Horizonte,Discotecas
Bar Catedral Rooftop | Old San Juan,Discotecas
Yabucoa Quick Bar & Mexican Food,Discotecas
Delicia China,Discotecas
Taqueria del Pueblo,Discotecas
Georgie's Pizza Place Yabucoa,Discotecas
La Casa De Los Pastelillos,Discotecas
Kiosko La Frescura,Discotecas
Pizzeria The Relative #1,Discotecas
The Morrillo,Barras
El Nuevo Horizonte,Barras
La Frontera Yabucoeña,Barras
"Coconut Mar, Yabucoa",Barras
Pa Casa Dua Bar And Rest,Barras
La carreta,Barras
Yabucoa Quick Bar & Mexican Food,Barras
Georgie's Pizza Place Yabucoa,Barras
La Casita de Roldi,Barras
Sandbar.Culebra,Pubs
La Lobina,Pubs
JJ Grill & Bar,Pubs
El Batey,Pubs
Happy Landing,Pubs
The Spot,Pubs
Harspoon's,Pubs
La Cocina del Navegante,Pubs
Moncho’s BBQ,Pubs
Mamacitas Guest House,Pubs
The Spot,Discotecas
Sandbar.Culebra,Discotecas
La Lobina,Discotecas
Happy Landing,Discotecas
El Batey,Discotecas
Harspoon's,Discotecas
Club Seabourne,Discotecas
La Jíbara - Pizzería Creativa,Discotecas
Come y Vete,Discotecas
Sandbar.Culebra,Barras
La Cocina del Navegante,Barras
El Batey,Barras
JJ Grill & Bar,Barras
La Lobina,Barras
Come y Vete,Barras
Kiosko La Pica,Barras
Moncho’s BBQ,Barras
Happy Landing,Barras
Harspoon's,Barras
Heather's Pizza,Barras
DomiRico Flavor Food Truck,Barras
Rolls of Heaven,Barras
La Jíbara - Pizzería Creativa,Barras
Mamacitas Guest House,Barras
El Navegante de Culebra,Barras
Lechonera La Criolla en Culebra,Barras
Le Deli Bleu,Barras
Susie's,Barras
Openbar Barra Móvil | Coctelería,Barras
Blac Flamingo Coffee,Barras
El Desafío Bar & Grill,Barras
Lucas Spot Guánica,Pubs
Parrilla Playera,Pubs
Trankilandia Bar & Cuisine,Pubs
EL 2ble Tranque,Pubs
THE TINGLAO,Pubs
Toñin y Malen,Pubs
Mojito2Go,Pubs
Rincon Tropical,Pubs
El Jibarito en Playa,Pubs
Cafetin de Plo,Pubs
El Fogon Familiar,Pubs
Oceano Sport Bar,Pubs
Ancla Flotante,Pubs
Caños Pizza,Pubs
Ochoa,Pubs
El Mongo Tree,Pubs
El Quisqueyano,Pubs
El Badén,Pubs
Barbarazo,Pubs
Exyrius Sport Bar & Grill,Barras
Esperanza idrach,Pubs
COPAS Restobar,Pubs
Cruz Sport Bar,Pubs
Mojito to Go,Pubs
La Calle 4,Pubs
Café Borikén,Pubs
Don Carmelo / El Comandante Sport Bar & Grill,Barras
El Columpio,Pubs
Cafetín El Taino,Pubs
Scryer Rum & Café - Río Piedras,Pubs
El Rincon de la Picadera,Pubs
The Sand Bar,Pubs
Club Puertorriqueño Ensenada Guanica,Discotecas
Lucas Spot Guánica,Discotecas
THE TINGLAO,Discotecas
Mojito to Go,Discotecas
Parrilla Playera,Discotecas
Rincon Tropical,Discotecas
Mojito2Go,Discotecas
Lucas Spot Guánica,Barras
Parrilla Playera,Barras
Bocados Tamara y Algo Más,Barras
Trankilandia Bar & Cuisine,Barras
El Badén,Barras
El Turpial,Barras
Rincon Tropical,Barras
Treasure of the Seas,Barras
Mojito to Go,Barras
Ancla Flotante,Barras
THE TINGLAO,Barras
Caños Pizza,Barras
Esperanza idrach,Barras
Sazón con flow,Barras
Rancho Viejo,Barras
Bella Vista,Barras
Carlos BBQ,Barras
Mil Amores Mexican Bar & Grill,Barras
La Bibliotek Bar de libros,Barras
Oceano Sport Bar,Barras
El Guacamayo Pool Bar & Grill,Barras
Ochoa,Barras
Mojito2Go,Barras
Chandelier Bar,Barras
La Placita de Plamira,Barras
Cafetin de Plo,Barras
JOTO's Sport Bar,Barras
El Mongo Tree,Barras
Munchealo by Chris,Barras
Turku Kebabb,Barras
Azúkar y Mas by Aryta,Barras
Gran Canaria Puerto Rico,Barras
Q'lantro,Barras
El deportivo,Barras
Dulce Tentación Jayuya,Barras
Pikoteo Bar,Barras
Parador Guánica 1929,Barras
Kioskos Turísticos,Barras
Supermercado Econo,Barras
Panadería y Repostería L.A. Rivera,Barras
Bako,Barras
Supermax magnolia bayamon,Barras
PintuThakro,Barras
Pothencode Panchayath Office,Barras
Pescadería Bahia Guánica,Barras
El Colorao Sports Bar,Barras
Yolanda's Bar and Grill,Barras
The Black Steak House Lajas,Pubs
El Tamarindo Bar,Pubs
El Ultimo Brinco Spot Bar,Pubs
Isla Cueva,Pubs
Mar & Tierra Sport Bar,Pubs
La Parguera Rooftop,Pubs
La Ruta Del Peje,Pubs
Road 116 Parguera,Pubs
Reef Pop,Pubs
Reserva 304,Pubs
Fogata,Pubs
Brújula,Pubs
Puerto Parguera,Pubs
Pal’agua Meat and Wine Shop,Pubs
Reserva 304,Discotecas
La Parguera Rooftop,Discotecas
Balcones Nightclub,Discotecas
The Beach House Rincón,Discotecas
Isla Cueva,Discotecas
Reef Pop,Discotecas
Brújula,Discotecas
El Cubujon,Discotecas
The Black Steak House Lajas,Discotecas
La Casa del Dorado,Discotecas
El Patio de La Jamaca - La Parguera,Discotecas
Isla Cueva,Barras
El Tamarindo Bar,Barras
Puerto Parguera,Barras
Brújula,Barras
The Black Steak House Lajas,Barras
Mercado's Bakery Lajas,Barras
Barra Y Cafetín Buena Vista,Barras
La Jamaca Hotel- La Parguera,Barras
Reserva 304,Barras
La Parguera Rooftop,Barras
La Parguera Sport Bar,Barras
Pal’agua Meat and Wine Shop,Barras
Rest. Buen Provecho,Barras
Roosters Bar & Tapas,Barras
Quarto'sPizza,Barras
El Nuevo Chorro Coli,Barras
El Moroco Local Market,Barras
Grampa’s Place,Barras
Ruta 183 Bar & Grill,Barras
La Taverna Social Bar,Pubs
La Vieja Escuela Bar & Grill,Barras
Costa Rican Cantina,Pubs
7 Pizza & Bar,Pubs
Refranes Café Bar and Lounge,Pubs
Tijuana's Las Piedras,Pubs
Guacamole al Fresco,Pubs
La Taverna Social Bar,Discotecas
7 Pizza & Bar,Discotecas
Costa Rican Cantina,Discotecas
Refranes Café Bar and Lounge,Discotecas
El Boricua,Discotecas
K´bitos Brothers Sport Bar,Discotecas
Pa'l Bodegón Colmado & Sport Bar,Discotecas
Tijuana's Las Piedras,Discotecas
Guacamole al Fresco,Discotecas
Little Town Food Truck Park,Discotecas
Wagyu Burger by René,Discotecas
El Refugio,Discotecas
Beats Dance + Bites,Discotecas
Club Brava,Discotecas
Aguardiente Bar,Discotecas
El Rey del Cruce,Discotecas
El Ensayo Café • Teatro • Bar,Discotecas
El Ocho de Rio,Discotecas
Alcaldía Sport Bar,Discotecas
La Terapia,Discotecas
Bar El Deportivo,Discotecas
PLACITA FOOD TRUCK,Barras
La Taverna Social Bar,Barras
Rellenas Nocturnas - Foodtruck,Barras
Costa Rican Cantina,Barras
El Dugout bar artesano,Barras
Pearl of the Caribbean Rest & Bar,Barras
7 Pizza & Bar,Barras
Refranes Café Bar and Lounge,Barras
Placita Díaz Cruz,Barras
Guacamole al Fresco,Barras
Brisas BBQ,Barras
Pa'l Bodegón Colmado & Sport Bar,Barras
El Obrero,Barras
The Green Basket Market & Deli,Barras
Romiar Sports Bar,Barras
Sabrosos Limbers,Barras
La Nueva Tasca,Barras
Un Placer By Chef Luis Correa,Barras
The Compadres Sports Bar,Barras
Chinese Food Asahi Sushi Bar,Barras
