evento_id_temp,source_event_id,url,nombre_final,categoria_origen_boleteria,categoria_inferida_script,categoria_final_id,categoria_final_nombre,usa_sesiones_compra,total_sesiones_detectadas,total_venues_detectadas,municipio_principal_id,municipio_principal_nombre,municipios_detectados_en_venues,municipios_detectados_en_sesiones,lugar_principal,direccion_principal,total_fechas_finales,primera_fecha,ultima_fecha
253,concierto-por-nuestra-voz,https://pietix.com/concierto-por-nuestra-voz,Concierto Nuestra Voz Por La Niñez,,Conciertos,1,,true,1,1,65,San Juan,65,65,Teatro de la Universidad Interamericana - Recinto Metro,"Teatro de la Universidad Interamericana - Recinto Metro, San Juan, Puerto Rico",1,2026-06-14,2026-06-14
254,npc-borinquen-classic-2026,https://pietix.com/npc-borinquen-classic-2026,NPC Borinquen Classic 2026,,Otros,9,,true,1,1,11,Bayamón,11,11,Teatro Interamericana de Bayamón,"Teatro Interamericana de Bayamón, Bayamón, Puerto Rico",1,2026-06-20,2026-06-20
255,sie7e-intimo,https://pietix.com/sie7e-intimo,Sie7e: Íntimo 'Una Noche Acústica',,Experiencia,15,,true,1,1,65,San Juan,65,65,PuntoFijo,"PuntoFijo, San Juan, Puerto Rico",1,2026-06-20,2026-06-20
256,tombola-yauco,https://pietix.com/tombola-yauco,'Standoperos' La Tómbola @ Yauco,,Experiencia,15,,true,1,1,78,Yauco,78,78,Teatro Ideal,"Teatro Ideal, Yauco, Puerto Rico",1,2026-06-20,2026-06-20
257,chisteando-mayaguez,https://pietix.com/chisteando-mayaguez,Chisteando @ Mayagüez,,Experiencia,15,,true,3,1,50,Mayagüez,50,50,Teatro Balboa - Armando &quot;Chucho&quot; Avellanet,"Teatro Balboa - Armando &quot;Chucho&quot; Avellanet, Mayagüez, Puerto Rico",3,2026-06-26,2026-06-28
258,cuentos-de-padres,https://pietix.com/cuentos-de-padres,Cuentos de Padres,,Experiencia,15,,true,2,1,65,San Juan,65,65,PuntoFijo,"PuntoFijo, San Juan, Puerto Rico",2,2026-06-26,2026-06-27
259,el-bardo-y-el-jibarito,https://pietix.com/el-bardo-y-el-jibarito,El Bardo & El Jibarito,,Conciertos,1,,true,1,1,65,San Juan,65,65,PuntoFijo,"PuntoFijo, San Juan, Puerto Rico",1,2026-06-28,2026-06-28
260,standoperos-chisteando,https://pietix.com/standoperos-chisteando,Chisteando @ Bayamón,,Experiencia,15,,true,6,1,11,Bayamón,11,11,Teatro Braulio Castillo,"Teatro Braulio Castillo, Bayamón, Puerto Rico",6,2026-07-03,2026-09-05
261,caribbean-gamic-expo2026,https://pietix.com/caribbean-gamic-expo2026,Caribbean Gamic Expo 2026,,Comicon / Cosplay,14,,true,2,1,2,Aguada,2,2,Centro de Convenciones de Aguada,"Centro de Convenciones de Aguada, Aguada, Puerto Rico",2,2026-07-18,2026-07-19
262,penetrado-usa-tour,https://pietix.com/penetrado-usa-tour,Kiko Blade 'Penetrado USA Tour',,Comedia,10,,true,1,1,28,Florida,28,28,Sun On the Beach,"Sun On the Beach, Kissimmee, Florida",1,2026-07-25,2026-07-25
263,standup-comedy-espanol-puntofijo,https://pietix.com/standup-comedy-espanol-puntofijo,Stand Up Comedy En Español @ PuntoFijo,,Comedia,10,,true,1,1,65,San Juan,65,65,PuntoFijo,"PuntoFijo, San Juan, Puerto Rico",1,2026-08-01,2026-08-01
264,standup-comedy-espanol-ponce,https://pietix.com/standup-comedy-espanol-ponce,Stand Up Comedy En Español @ Studio 58 Ponce,,Comedia,10,,true,1,1,58,Ponce,58,58,Studio 58 Comedy Club,"Studio 58 Comedy Club, Ponce, Puerto Rico",1,2026-08-02,2026-08-02
265,kabeto-mayaguez,https://pietix.com/kabeto-mayaguez,Kabeto @ Mayagüez,,Comedia,10,,true,1,1,50,Mayagüez,50,50,Teatro Balboa - Armando &quot;Chucho&quot; Avellanet,"Teatro Balboa - Armando &quot;Chucho&quot; Avellanet, Mayagüez, Puerto Rico",1,2026-08-08,2026-08-08
266,kabeto,https://pietix.com/kabeto,Kabeto @ Bayamón,,Comedia,10,,true,2,1,11,Bayamón,11,11,Teatro Braulio Castillo,"Teatro Braulio Castillo, Bayamón, Puerto Rico",2,2026-08-14,2026-08-15
267,quitate-tu-pa-ponerme-yo-usa-2026,https://pietix.com/quitate-tu-pa-ponerme-yo-usa-2026,Quítate Tú Pa' Ponerme Yo,,Otros,9,,true,1,1,28,Florida,28,28,Sun On the Beach,"Sun On the Beach, Kissimmee, Florida",1,2026-08-15,2026-08-15
268,juan-jose-hernandez,https://pietix.com/juan-jose-hernandez,Juan José Hernández en Concierto,,Conciertos,1,,true,1,1,65,San Juan,65,65,Centro de Bellas Artes de Santurce,"Centro de Bellas Artes de Santurce, San Juan, Puerto Rico",1,2026-08-29,2026-08-29
269,kefas-rame-tour2026,https://pietix.com/kefas-rame-tour2026,Kefas 'Ramé Tour 2026',,Otros,9,,true,3,3,30,Guayama,13|30|65,13|30|65,Studio 58 Café Teatro,"Studio 58 Café Teatro, Guayama, Puerto Rico",3,2026-08-29,2026-10-17
270,convention-esthetics-spa-2026,https://pietix.com/convention-esthetics-spa-2026,"Convención Internacional de Estética, Spa y Masaje",,Charla / Conferencia,13,,true,2,1,16,Carolina,16,16,Embassy Suites by Hilton San Juan Hotel &amp; Casino,"Embassy Suites by Hilton San Juan Hotel &amp; Casino, Carolina, Puerto Rico",2,2026-08-30,2026-08-31
271,candy-world-expo-winter2026,https://pietix.com/candy-world-expo-winter2026,Candy World Expo Winter Wonderland 2026,,Experiencia,15,,true,3,1,11,Bayamón,11,11,Coliseo Rubén Rodríguez,"Coliseo Rubén Rodríguez, Bayamón, Puerto Rico",3,2026-09-25,2026-09-27
