id,event_id,source,source_event_id,municipio_id,lugar,localidad_key,direccion,enlaceboletos
1174,245,pietix,josue-comedy-madre-latina-tour,28,Strand Theatre,28|strand theatre,"Strand Theatre, Boston, Massachusetts",https://pietix.com/josue-comedy-madre-latina-tour
1175,245,pietix,josue-comedy-madre-latina-tour,28,The Palace Arts Center,28|the palace arts center,"The Palace Arts Center, Grapevine, Texas",https://pietix.com/josue-comedy-madre-latina-tour
1176,245,pietix,josue-comedy-madre-latina-tour,28,Killeen Arts and Activities Center,28|killeen arts and activities center,"Killeen Arts and Activities Center, Killeen, Texas",https://pietix.com/josue-comedy-madre-latina-tour
1177,245,pietix,josue-comedy-madre-latina-tour,28,Midtown Arts &amp; Theater Center,28|midtown arts amp theater center,"Midtown Arts &amp; Theater Center, Houston, Texas",https://pietix.com/josue-comedy-madre-latina-tour
1178,246,pietix,desnuda,58,Mesas y Telón By Dominguez,58|mesas y telon by dominguez,"Mesas y Telón By Dominguez, Ponce, Puerto Rico",https://pietix.com/desnuda
1179,246,pietix,desnuda,30,Studio 58 Café Teatro,30|studio 58 cafe teatro,"Studio 58 Café Teatro, Guayama, Puerto Rico",https://pietix.com/desnuda
1180,247,pietix,asi-somos,28,Sun On the Beach,28|sun on the beach,"Sun On the Beach, Kissimmee, Florida",https://pietix.com/asi-somos
1181,248,pietix,the-bars-show-2026,65,Puerto Rico Convention Center,65|puerto rico convention center,"Puerto Rico Convention Center, San Juan, Puerto Rico",https://pietix.com/the-bars-show-2026
1182,249,pietix,con-pablo-en-el-alma,30,Studio 58 Café Teatro,30|studio 58 cafe teatro,"Studio 58 Café Teatro, Guayama, Puerto Rico",https://pietix.com/con-pablo-en-el-alma
1183,250,pietix,super-otaku-con,58,3 DAY PASS - Complejo Ferial de Puerto Rico,58|3 day pass complejo ferial de puerto rico,"3 DAY PASS - Complejo Ferial de Puerto Rico, Ponce, Puerto Rico",https://pietix.com/super-otaku-con
1184,250,pietix,super-otaku-con,58,TWO DAY PASS (FRIDAY &amp; SATURDAY) - Complejo Ferial de Puerto Rico,58|two day pass friday amp saturday complejo ferial de puerto rico,"TWO DAY PASS (FRIDAY &amp; SATURDAY) - Complejo Ferial de Puerto Rico, Ponce, Puerto Rico",https://pietix.com/super-otaku-con
1185,250,pietix,super-otaku-con,58,GENERAL SINGLE TICKET &amp; GROUP PASS - Complejo Ferial de Puerto Rico,58|general single ticket amp group pass complejo ferial de puerto rico,"GENERAL SINGLE TICKET &amp; GROUP PASS - Complejo Ferial de Puerto Rico, Ponce, Puerto Rico",https://pietix.com/super-otaku-con
1186,250,pietix,super-otaku-con,58,TWO DAY PASS (SATURDAY &amp; SUNDAY) - Complejo Ferial de Puerto Rico,58|two day pass saturday amp sunday complejo ferial de puerto rico,"TWO DAY PASS (SATURDAY &amp; SUNDAY) - Complejo Ferial de Puerto Rico, Ponce, Puerto Rico",https://pietix.com/super-otaku-con
1187,251,pietix,la-puerca-de-juan-bobo,27,La Estación,27|la estacion,"La Estación, Fajardo, Puerto Rico",https://pietix.com/la-puerca-de-juan-bobo
1188,252,pietix,la-nueva-corte,58,Mesas y Telón By Dominguez,58|mesas y telon by dominguez,"Mesas y Telón By Dominguez, Ponce, Puerto Rico",https://pietix.com/la-nueva-corte
1189,252,pietix,la-nueva-corte,64,Teatro Sol,64|teatro sol,"Teatro Sol, San Germán, Puerto Rico",https://pietix.com/la-nueva-corte
1190,253,pietix,concierto-por-nuestra-voz,65,Teatro de la Universidad Interamericana - Recinto Metro,65|teatro de la universidad interamericana recinto metro,"Teatro de la Universidad Interamericana - Recinto Metro, San Juan, Puerto Rico",https://pietix.com/concierto-por-nuestra-voz
1191,254,pietix,npc-borinquen-classic-2026,11,Teatro Interamericana de Bayamón,11|teatro interamericana de bayamon,"Teatro Interamericana de Bayamón, Bayamón, Puerto Rico",https://pietix.com/npc-borinquen-classic-2026
1192,255,pietix,sie7e-intimo,65,PuntoFijo,65|puntofijo,"PuntoFijo, San Juan, Puerto Rico",https://pietix.com/sie7e-intimo
1193,256,pietix,tombola-yauco,78,Teatro Ideal,78|teatro ideal,"Teatro Ideal, Yauco, Puerto Rico",https://pietix.com/tombola-yauco
1194,257,pietix,chisteando-mayaguez,50,Teatro Balboa - Armando &quot;Chucho&quot; Avellanet,50|teatro balboa armando quot chucho quot avellanet,"Teatro Balboa - Armando &quot;Chucho&quot; Avellanet, Mayagüez, Puerto Rico",https://pietix.com/chisteando-mayaguez
1195,258,pietix,cuentos-de-padres,65,PuntoFijo,65|puntofijo,"PuntoFijo, San Juan, Puerto Rico",https://pietix.com/cuentos-de-padres
1196,259,pietix,el-bardo-y-el-jibarito,65,PuntoFijo,65|puntofijo,"PuntoFijo, San Juan, Puerto Rico",https://pietix.com/el-bardo-y-el-jibarito
1197,260,pietix,standoperos-chisteando,11,Teatro Braulio Castillo,11|teatro braulio castillo,"Teatro Braulio Castillo, Bayamón, Puerto Rico",https://pietix.com/standoperos-chisteando
1198,261,pietix,caribbean-gamic-expo2026,2,Centro de Convenciones de Aguada,2|centro de convenciones de aguada,"Centro de Convenciones de Aguada, Aguada, Puerto Rico",https://pietix.com/caribbean-gamic-expo2026
1199,262,pietix,penetrado-usa-tour,28,Sun On the Beach,28|sun on the beach,"Sun On the Beach, Kissimmee, Florida",https://pietix.com/penetrado-usa-tour
1200,263,pietix,standup-comedy-espanol-puntofijo,65,PuntoFijo,65|puntofijo,"PuntoFijo, San Juan, Puerto Rico",https://pietix.com/standup-comedy-espanol-puntofijo
1201,264,pietix,standup-comedy-espanol-ponce,58,Studio 58 Comedy Club,58|studio 58 comedy club,"Studio 58 Comedy Club, Ponce, Puerto Rico",https://pietix.com/standup-comedy-espanol-ponce
1202,265,pietix,kabeto-mayaguez,50,Teatro Balboa - Armando &quot;Chucho&quot; Avellanet,50|teatro balboa armando quot chucho quot avellanet,"Teatro Balboa - Armando &quot;Chucho&quot; Avellanet, Mayagüez, Puerto Rico",https://pietix.com/kabeto-mayaguez
1203,266,pietix,kabeto,11,Teatro Braulio Castillo,11|teatro braulio castillo,"Teatro Braulio Castillo, Bayamón, Puerto Rico",https://pietix.com/kabeto
1204,267,pietix,quitate-tu-pa-ponerme-yo-usa-2026,28,Sun On the Beach,28|sun on the beach,"Sun On the Beach, Kissimmee, Florida",https://pietix.com/quitate-tu-pa-ponerme-yo-usa-2026
1205,268,pietix,juan-jose-hernandez,65,Centro de Bellas Artes de Santurce,65|centro de bellas artes de santurce,"Centro de Bellas Artes de Santurce, San Juan, Puerto Rico",https://pietix.com/juan-jose-hernandez
1206,269,pietix,kefas-rame-tour2026,30,Studio 58 Café Teatro,30|studio 58 cafe teatro,"Studio 58 Café Teatro, Guayama, Puerto Rico",https://pietix.com/kefas-rame-tour2026
1207,269,pietix,kefas-rame-tour2026,13,Moneró Café Teatro &amp; Bar,13|monero cafe teatro amp bar,"Moneró Café Teatro &amp; Bar, Caguas, Puerto Rico",https://pietix.com/kefas-rame-tour2026
1208,269,pietix,kefas-rame-tour2026,65,PuntoFijo,65|puntofijo,"PuntoFijo, San Juan, Puerto Rico",https://pietix.com/kefas-rame-tour2026
1209,270,pietix,convention-esthetics-spa-2026,16,Embassy Suites by Hilton San Juan Hotel &amp; Casino,16|embassy suites by hilton san juan hotel amp casino,"Embassy Suites by Hilton San Juan Hotel &amp; Casino, Carolina, Puerto Rico",https://pietix.com/convention-esthetics-spa-2026
1210,271,pietix,candy-world-expo-winter2026,11,Coliseo Rubén Rodríguez,11|coliseo ruben rodriguez,"Coliseo Rubén Rodríguez, Bayamón, Puerto Rico",https://pietix.com/candy-world-expo-winter2026
