key,nombre_lugar,municipio_id,direccion,place_id,latitud,longitud,fuente,updated_at
teatro balboa mayaguez|50,"Teatro Balboa, Mayagüez",50,"196 C. Méndez Vigo, Mayagüez, 00680, Puerto Rico",ChIJmexoIgCzAowRcMLqWhCZ-QU,18.2014361,-67.13526650000001,google_places,2026-05-14T20:19:33+00:00
teatro braulio castillo|11,Teatro Braulio Castillo,11,"9RWV+JMH, Carr Puerto Rico 2, Bayamón, 00959, Puerto Rico",ChIJrwF3qDtqA4wRd3ImUEIX3Lw,18.3965648,-66.1557526,google_places,2026-05-14T20:23:11+00:00
teatro de la universidad interamericana recinto metro|65,Teatro de la Universidad Interamericana - Recinto Metro,65,"9W9C+PF5, C. Francisco Seín, San Juan, 00917, Puerto Rico",ChIJL2GUKQBpA4wRVIcH5rA6oCI,18.3692686,-66.0787715,google_places,2026-05-14T20:24:54+00:00
teatro del c3tec|13,Teatro del C3TEC,13,"59 Av. José Gautier Benítez, Caguas, 00725, Puerto Rico",ChIJa09JFDBbA4wRAgj9VlAGEcY,18.2290533,-66.03585199999999,google_places,2026-05-14T20:19:44+00:00
teatro ernesto ramos antonini|67,Teatro Ernesto Ramos Antonini,67,"FF44+8W9, Av. Palmas Altas, Barceloneta, 00617, Puerto Rico",ChIJV2s7L3ofA4wR2AnpO0mSA-M,18.4557889,-66.5426513,google_places,2026-05-14T20:23:19+00:00
teatro francisco arrivi 4 precios 2 2|65,Teatro Francisco Arriví - 4 PRECIOS (2/2),65,"CWVM+V86, C. del Parque, San Juan, 00909, Puerto Rico",ChIJQbvrHktvA4wROU7eJm1pbSg,18.4446574,-66.0667314,google_places,2026-05-14T20:19:51+00:00
teatro francisco arrivi|65,Teatro Francisco Arriví,65,"CWVM+V86, C. del Parque, San Juan, 00909, Puerto Rico",ChIJQbvrHktvA4wROU7eJm1pbSg,18.4446574,-66.0667314,google_places,2026-05-14T20:23:44+00:00
teatro ideal|78,Teatro Ideal,78,"17 Calle Comercio, Yauco, 00698, Puerto Rico",ChIJTUjXl0kyHYwRcZrfxzRSpmY,18.0348148,-66.8483808,google_places,2026-05-14T20:23:15+00:00
teatro inter metro|65,Teatro Inter Metro,65,"9W9C+PF5, C. Francisco Seín, San Juan, 00917, Puerto Rico",ChIJL2GUKQBpA4wRVIcH5rA6oCI,18.3692686,-66.0787715,google_places,2026-05-14T20:23:18+00:00
teatro interamericana de bayamon|11,Teatro Interamericana de Bayamón,11,"8RX8+VJW, Calle Universidad, Bayamón, 00956, Puerto Rico",ChIJS4hvKcpBA4wRKTyUSeaSmLk,18.3497493,-66.1834105,google_places,2026-05-14T20:24:55+00:00
teatro jose m lugo emanuelli|27,Teatro José M. Lugo Emanuelli,27,"88HX+3JF, C. Celís Aguilera, Fajardo, 00738, Puerto Rico",ChIJ67fthuWXBIwRHMguLyOi0uE,18.3276912,-65.6509585,google_places,2026-05-14T20:19:50+00:00
teatro juventud|41,Teatro Juventud,41,"2WVR+M78, Lajas, 00667, Puerto Rico",ChIJby_yctpLHYwRspa6w04ciqc,18.044174,-67.05929789999999,google_places,2026-05-14T20:23:49+00:00
teatro monsenor vicente murga ponce|58,"Teatro Monseñor Vicente Murga, Ponce",58,"292M+QR6, Ponce, 00717, Puerto Rico",ChIJ8zYHGPXVHIwRQ_1mDbaK1Jc,18.0019002,-66.6154799,google_places,2026-05-14T20:23:21+00:00
teatro sol|64,Teatro Sol,64,"21 C. Padres Agustinos, San Germán, 00683, Puerto Rico",ChIJOSxmVf5KHYwRNgmnaiq5tXE,18.0824114,-67.0429861,google_places,2026-05-14T20:24:52+00:00
teatro tapia reynold|65,Teatro Tapia-Reynold,65,"Calle Fortaleza, FV8Q+65P, C. de la Fortaleza, San Juan, 00901, Puerto Rico",ChIJA-3hytxuA4wR-U70RZMCYEk,18.4655882,-66.1120375,google_places,2026-05-14T20:20:02+00:00
teatro yaguez mayaguez|50,"Teatro Yagüez, Mayagüez",50,"2-98 C. Eduardo Riera, Mayagüez, 00682, Puerto Rico",ChIJG0BSUUqyAowRBt28NodVALY,18.2012898,-67.1403636,google_places,2026-05-14T20:19:53+00:00
teatro yaguez raynold|65,"Teatro Yagüez, Raynold",65,"2-98 C. Eduardo Riera, Mayagüez, 00682, Puerto Rico",ChIJG0BSUUqyAowRBt28NodVALY,18.2012898,-67.1403636,google_places,2026-05-14T20:20:04+00:00
teatro yaguez|50,Teatro Yagüez,50,"2-98 C. Eduardo Riera, Mayagüez, 00682, Puerto Rico",ChIJG0BSUUqyAowRBt28NodVALY,18.2012898,-67.1403636,google_places,2026-05-14T20:23:14+00:00
the asher theatre|16,The Asher Theatre,16,"Av. Jesús M. Fragoso, Carolina, 00983, Puerto Rico",ChIJP7cPYjtnA4wRl-PdLGfiTE8,18.3933694,-65.9747203,google_places,2026-05-14T20:24:07+00:00
the liberty center|28,The Liberty Center,28,"Virella Medina Shopping Center, 3000 Av. Roberto Sánchez Vilella, Carolina, 00982, Puerto Rico",ChIJpbyUHfFmA4wR1PhU5yeb8v4,18.4147501,-65.9928426,google_places,2026-05-14T20:24:38+00:00
the palace arts center|28,The Palace Arts Center,28,"Ave. Ponce De León Pda. 22 1/2, San Juan, 00907, Puerto Rico",ChIJgXI932hoA4wRoro39iaHOFk,18.4465793,-66.06872129999999,google_places,2026-05-14T20:24:41+00:00
the salvation army kroc corps community center|16,The Salvation Army Kroc Corps Community Center,16,"Bo. Machete Km. 1.1 Carr. 744, Guayama, 00784, Puerto Rico",ChIJ-TdQzw6zHIwRJ7u0xcHoo2w,17.9668978,-66.1104689,google_places,2026-05-14T20:24:10+00:00
tir center|28,TIR Center,28,"115 Cll 10, Florida, 00650, Puerto Rico",ChIJ233EwYghA4wR_NUdfGz733U,18.3620714,-66.55556279999999,google_places,2026-05-14T20:24:34+00:00
titan games|13,Titan Games,13,"13 Calle Luis Munoz Rivera, Caguas, 00725, Puerto Rico",ChIJaebHTD9bA4wRuJVwycN7GDI,18.2351244,-66.0352899,google_places,2026-05-14T20:19:29+00:00
two day pass friday amp saturday complejo ferial de puerto rico|58,TWO DAY PASS (FRIDAY &amp; SATURDAY) - Complejo Ferial de Puerto Rico,58,"Av Rafael Cordero Santiago, Ponce, 00716, Puerto Rico",ChIJow6UhObVHIwRHSB9TCXXLk0,17.9872554,-66.599768,google_places,2026-05-14T20:24:47+00:00
two day pass saturday amp sunday complejo ferial de puerto rico|58,TWO DAY PASS (SATURDAY &amp; SUNDAY) - Complejo Ferial de Puerto Rico,58,"Av Rafael Cordero Santiago, Ponce, 00716, Puerto Rico",ChIJow6UhObVHIwRHSB9TCXXLk0,17.9872554,-66.599768,google_places,2026-05-14T20:24:50+00:00
uagm recinto de carolina|16,"UAGM, Recinto de Carolina",16,"C278+9FH, PR-190, Carolina, 00984, Puerto Rico",ChIJIcxDfJFmA4wRN-aK6JKZEFE,18.4134399,-65.9837804,google_places,2026-05-14T20:23:12+00:00
vivo beach club|16,Vivo Beach Club,16,"7000 Carr. 187 RR2, Carolina, 00979, Puerto Rico",ChIJUc5ePc1lA4wRFiUV54rqmrE,18.4469466,-66.00006739999999,google_places,2026-05-14T20:23:24+00:00
wwc|65,WWC,65,"570 Av. Lic. Eugenio María de Hostos, San Juan, 00918, Puerto Rico",ChIJdapVGZFoA4wRDzQfgzpAilg,18.4129107,-66.06158049999999,google_places,2026-05-14T20:20:12+00:00
